5226364,Wikipedia,14,NULL,-1,16,NULL,0
11795463,Help,14,NULL,-1,15,NULL,0
12721928,Sandbox,14,NULL,-1,14,NULL,0
9213436,Kent,14,NULL,-1,14,NULL,0
5671335,London,14,NULL,-1,14,NULL,0
5241042,Sega,14,NULL,-1,14,NULL,0
5240051,Nintendo,14,NULL,-1,14,NULL,0
5071287,War,14,NULL,-1,14,NULL,0
5068522,Mars,14,NULL,-1,14,NULL,0
5040177,Time,14,NULL,-1,14,NULL,0
5020448,Comics,14,NULL,-1,14,1,0
5013714,Christianity,14,NULL,-1,14,NULL,0
4996286,Agriculture,14,NULL,-1,14,NULL,0
4994101,Science,14,NULL,-1,14,1,1
4991805,Music,14,NULL,-1,14,1,0
4991780,Language,14,NULL,-1,14,NULL,0
4990965,Law,14,NULL,-1,14,1,1
12748799,Math,14,NULL,-1,13,NULL,0
12714422,Redirect,14,NULL,-1,13,NULL,0
12186309,MAIN PAGE,0,NULL,-1,13,NULL,0
12024237,Math,0,NULL,-1,13,NULL,0
7750340,Nicktoons,14,NULL,-1,13,NULL,0
6914777,Nicktoons,0,NULL,-1,13,NULL,0
6379996,Lady Gaga,0,NULL,-1,13,NULL,0
5205074,Harry Potter,14,NULL,-1,13,NULL,0
5075630,Puerto Rico,14,NULL,-1,13,NULL,0
5056535,Color,14,NULL,-1,13,NULL,0
5010963,Hinduism,14,NULL,-1,13,NULL,0
4994117,Technology,14,NULL,-1,13,1,1
4992885,Business,14,NULL,-1,13,NULL,0
4992019,Medicine,14,NULL,-1,13,NULL,0
4991008,Energy,14,NULL,-1,13,NULL,0
4990983,Mathematics,14,NULL,-1,13,1,1
4990959,History,14,NULL,-1,13,1,1
12833891,Led Zeppelin,14,NULL,-1,12,NULL,0
12715740,Austin,14,NULL,-1,12,NULL,0
12698878,1,14,NULL,-1,12,NULL,0
12698872,4,14,NULL,-1,12,NULL,0
12056520,ISBN,0,NULL,-1,12,NULL,0
12023686,Austin,0,NULL,-1,12,NULL,0
10255816,Cartoon Network,14,NULL,-1,12,NULL,0
10139404,Rihanna,14,NULL,-1,12,NULL,0
9760177,Pittsburgh,14,NULL,-1,12,NULL,0
9686219,Chicago,14,NULL,-1,12,NULL,0
9605466,NASCAR,14,NULL,-1,12,NULL,0
9539245,Cartoon Network,0,NULL,-1,12,NULL,0
9323799,Calgary,14,NULL,-1,12,NULL,0
9306256,Calgary,0,NULL,-1,12,NULL,0
8753351,NASCAR,0,NULL,-1,12,NULL,0
8675849,Chicago,0,NULL,-1,12,NULL,0
8666351,Skin,14,NULL,-1,12,NULL,0
8120126,Linux,14,NULL,-1,12,NULL,0
7966968,Green Day,0,NULL,-1,12,NULL,0
7964679,Led Zeppelin,0,NULL,-1,12,NULL,0
7964076,Grateful Dead,0,NULL,-1,12,NULL,0
7750046,Nickelodeon,14,NULL,-1,12,NULL,0
7749381,Nickelodeon,0,NULL,-1,12,NULL,0
7371255,Linux,0,NULL,-1,12,NULL,0
6493145,Rihanna,0,NULL,-1,12,NULL,0
6019309,Skin,0,NULL,-1,12,NULL,0
5908056,Pittsburgh,0,NULL,-1,12,NULL,0
5743485,Indiana,14,NULL,-1,12,NULL,0
5684157,Lego,14,NULL,-1,12,NULL,0
5495224,San Diego,14,NULL,-1,12,NULL,0
5447455,Java,14,NULL,-1,12,NULL,0
5333719,Catholicism,14,NULL,-1,12,NULL,0
5278532,Beer,14,NULL,-1,12,NULL,0
5268172,Futurama,14,NULL,-1,12,NULL,0
5262996,Peer review,14,NULL,-1,12,NULL,0
5250233,Animation,14,NULL,-1,12,1,0
5217401,Esperanto,14,NULL,-1,12,NULL,0
5205081,Google,14,NULL,-1,12,NULL,0
5204521,Star Trek,14,NULL,-1,12,NULL,0
5159485,The Simpsons,14,NULL,-1,12,NULL,0
5148304,Donald Trump,14,NULL,-1,12,1,0
5132025,Golf,14,NULL,-1,12,NULL,0
5127154,Romania,14,NULL,-1,12,NULL,0
5124393,Asia,14,NULL,-1,12,NULL,0
5077011,Switzerland,14,NULL,-1,12,NULL,0
5071194,Books,14,NULL,-1,12,NULL,0
5069566,Turkey,14,NULL,-1,12,NULL,0
5042250,Space,14,NULL,-1,12,NULL,0
5035344,Yoga,14,NULL,-1,12,1,0
5035083,Style,14,NULL,-1,12,NULL,0
5030554,Bible,14,NULL,-1,12,NULL,0
5015572,Community of Christ,14,NULL,-1,12,NULL,0
5013618,Islam,14,NULL,-1,12,1,0
5011511,Chemistry,14,NULL,-1,12,1,0
5011483,Physics,14,NULL,-1,12,1,0
5011355,Moon,14,NULL,-1,12,NULL,0
5010615,Computer science,14,NULL,-1,12,NULL,0
5008544,Neuroscience,14,NULL,-1,12,1,0
5005878,Judaism,14,NULL,-1,12,NULL,0
5005776,Pi,14,NULL,-1,12,NULL,0
5002791,Stargate,14,NULL,-1,12,NULL,0
5000431,Love,14,NULL,-1,12,NULL,0
5000397,Education,14,NULL,-1,12,1,1
4999566,Flags,14,NULL,-1,12,NULL,0
4997640,Design,14,NULL,-1,12,NULL,0
4995892,Transport,14,NULL,-1,12,NULL,0
4995445,Chess,14,NULL,-1,12,1,0
4995109,Terrorism,14,NULL,-1,12,1,0
4992377,Philosophy of science,14,NULL,-1,12,NULL,0
4992180,Linguistics,14,NULL,-1,12,NULL,0
4992021,Anthropology,14,NULL,-1,12,1,0
4992016,Sociology,14,NULL,-1,12,NULL,0
4991940,Logic,14,NULL,-1,12,NULL,0
4991063,Earth,14,NULL,-1,12,NULL,0
4990980,Philosophy,14,NULL,-1,12,1,1
4990978,Religion,14,NULL,-1,12,1,1
4990976,Geography,14,NULL,-1,12,1,1
4990962,Health,14,NULL,-1,12,1,1
12833877,Motörhead,14,NULL,-1,11,NULL,0
12790678,Psych,14,NULL,-1,11,NULL,0
12752033,Rush,14,NULL,-1,11,NULL,0
12750998,Animal,14,NULL,-1,11,NULL,0
12742218,Main,14,NULL,-1,11,NULL,0
12739014,Stub,14,NULL,-1,11,NULL,0
12735027,Art,14,NULL,-1,11,0,0
12718800,Categories,14,NULL,-1,11,NULL,0
12714045,Test,14,NULL,-1,11,NULL,0
12710511,Shakespeare,14,NULL,-1,11,NULL,0
12698877,2,14,NULL,-1,11,NULL,0
12446537,Categories,0,NULL,-1,11,NULL,0
12333143,Cars,14,NULL,-1,11,0,0
12332784,Madonna,14,NULL,-1,11,NULL,0
12244013,Bryan Adams,14,NULL,-1,11,NULL,0
12243999,Celine Dion,14,NULL,-1,11,NULL,0
11617215,Shakespeare,0,NULL,-1,11,NULL,0
10413325,Alternative rock,14,NULL,-1,11,NULL,0
10413303,Alternative rock,0,NULL,-1,11,NULL,0
10076662,SpongeBob SquarePants,14,NULL,-1,11,NULL,0
9693710,Miami,14,NULL,-1,11,NULL,0
9692175,Seattle,14,NULL,-1,11,NULL,0
9682207,Atlanta,14,NULL,-1,11,NULL,0
9472457,Atlanta,0,NULL,-1,11,NULL,0
9408553,Motörhead,0,NULL,-1,11,NULL,0
9387551,Psych,0,NULL,-1,11,NULL,0
8921717,Linkin Park,0,NULL,-1,11,NULL,0
8692460,AbOUT,0,NULL,-1,11,NULL,0
7756761,Apple,0,NULL,-1,11,NULL,0
7503880,The Beatles,14,NULL,-1,11,NULL,0
7503800,The Beatles,0,NULL,-1,11,NULL,0
7486811,Frank Sinatra,0,NULL,-1,11,NULL,0
7477681,U2,0,NULL,-1,11,NULL,0
7436547,SpongeBob SquarePants,0,NULL,-1,11,NULL,0
7296993,Miami,0,NULL,-1,11,NULL,0
7293624,Seattle,0,NULL,-1,11,NULL,0
7028868,Hostyle Gospel,0,NULL,-1,11,NULL,0
6874617,EChO,0,NULL,-1,11,NULL,0
6846291,Adele,0,NULL,-1,11,NULL,0
6753153,Celine Dion,0,NULL,-1,11,NULL,0
6534418,Eminem,0,NULL,-1,11,NULL,0
6259044,Bryan Adams,0,NULL,-1,11,NULL,0
5859767,Animal,0,NULL,-1,11,NULL,0
